BlancoONegro,WhiteOrBlack
CieloYTierra,SkyAndEarth
DulceOSalado,SweetOrSalty
DiaYNoche,DayAndNight
FrioOCalor,ColdOrHot
SalYPimienta,SaltAndPepper
VidaOMuerte,LifeOrDeath
NorteOSur,NorthOrSouth
SolOLluvia,SunOrRain
CuerpoYMente,BodyAndMind
TodoONada,AllOrNothing
OroYPlata,GoldAndSilver
GanarOPerder,WinOrLose
PapelYLapiz,PaperAndPencil
MarOMontaña,SeaOrMountain
PerroYGato,DogAndCat
VerdadOMentira,TruthOrLie
PanYLeche,BreadAndMilk
GuerraOPaz,WarOrPeace
LunaYSol,MoonAndSun
CausaYEfecto,CauseAndEffect
SueñoORealidad,DreamOrReality
AmorYOdio,LoveAndHate
EspacioYTiempo,SpaceAndTime
RazonOPasion,ReasonOrPassion
TeoriaYPractica,TheoryAndPractice
FormaYFuncion,FormAndFunction
AntesYDespues,BeforeAndAfter
DerechaOIzquierda,RightOrLeft
EntradaOSalida,EntryOrExit
PreguntaYRespuesta,QuestionAndAnswer
RopaYZapatos,ClothesAndShoes
MusicaYBaile,MusicAndDance
FrutaOVerdura,FruitOrVegetable
ComprarOVender,BuyOrSell
IdasYVueltas,BackAndForth
ExitoOFracaso,SuccessOrFailure
LuzOSombra,LightOrShadow
InicioYFin,StartAndEnd
CarneOPescado,MeatOrFish
