hasAuthor and writtenBy,yes
isLocatedIn and situatedIn,yes
hasSpouse and isMarriedTo,yes
hasCreationDate and dateCreated,yes
hasPart and contains,yes
worksFor and isEmployedBy,yes
hasMember and includesMember,yes
produces and creates,yes
hasTitle and nameOfWork,yes
hasBirthDate and dateOfBirth,yes
publishedIn and appearsIn,yes
hasPrice and costs,yes
isLeaderOf and heads,yes
hasPart and isPartOf,no
hasAuthor and hasPublisher,no
startsAt and endsAt,no
hasMother and hasFather,no
hasInput and hasOutput,no
isPrecededBy and isFollowedBy,no
hasMaximum and hasMinimum,no
createdAt and modifiedAt,no
sellsTo and buysFrom,no
hasOrigin and hasDestination,no
isTeacherOf and isStudentOf,no
hasCapital and hasCity,no
hasBrother and hasSister,no
isLargerThan and isSmallerThan,no
hasParticipant and hasCoordinator,no
