Theatre,Building,Art,yes
Bank,Finance,River,yes
Virus,Organism,Software,yes
Plant,Botany,Factory,yes
Mouse,Animal,Hardware,yes
Host,Biology,Network,yes
Domain,Territory,Internet,yes
Class,School,Software,yes
Car,Vehicle,Transport,no
Person,Human,Individual,no
House,Building,Home,no
Dog,Animal,Pet,no
Computer,Machine,Device,no
Water,Liquid,Resource,no
Book,Literature,Text,no
Guitar,Instrument,Music,no
City,Location,Town,no
bat,flying_mammal,sports_equipment,yes
bark,tree_covering,dog_sound,yes
scale,measuring_instrument,fish_covering,yes
bug,insect,software_error,yes
current,water_flow,electrical_flow,yes
node,network_connection,plant_stem_part,yes
bass,fish_species,low_frequency_sound,yes
mammal,primate,carnivore,no
forest,woods,woodland,no
developer,programmer,software_engineer,no
mountain,peak,summit,no
algorithm,sorting_algorithm,search_algorithm,no
ecosystem,marine_ecosystem,terrestrial_ecosystem,no
vehicle,automobile,truck,no

